"location_id","year","lat","lon","source","pAspen","oven","swth","cawa","alfl","classno","buffer_area","landcover_class","area","badr_wellpadlow","badr_road","badr_wellpadhigh","badr_plant","badr_linear","badr_plantbuffer","badr_reference"
"100026",2017,55.76363,-110.87517,"supplemental",0.959999978542328,0.367889225482941,0.150464177131653,0.0317927896976471,0.0483651012182236,230,70653.5,"mixedwood",70653.5,0,0,0,0,0,0,1.00000057927644
"87031",2020,55.842138,-110.65106,"supplemental",0.990000009536743,0.630300998687744,0.162104979157448,0.0531362034380436,0.0615566074848175,220,70653.5,"broadleaf",70653.5,0,0,0,0,0,0,1.00000057927691
"86897",2019,55.839542,-110.564647,"supplemental",0.990000009536743,0.55159991979599,0.154381558299065,0.0509347692131996,0.0677409470081329,100,70653.5,"herbs",70653.5,0,0,0,0,0,0,1.00000057927676
"86897",2020,55.839542,-110.564647,"supplemental",0.990000009536743,0.55159991979599,0.154381558299065,0.0509347692131996,0.0677409470081329,100,70653.5,"herbs",70653.5,0,0,0,0,0,0,1.00000057927676
"87030",2019,55.887342,-110.558168,"supplemental",0.829999983310699,0.173621028661728,0.108487173914909,0.0221072379499674,0.0848044455051422,100,70653.5,"herbs",70653.5,0,0,0,0,0,0,1.00000057927701
"87029",2019,55.847817,-110.64918,"supplemental",0.990000009536743,0.630300998687744,0.162104979157448,0.0531362034380436,0.0615566074848175,230,70653.5,"mixedwood",70653.5,0,0,0,0,0,0,1.00000057927749
"87028",2019,55.847377,-110.638961,"supplemental",0.990000009536743,0.508531391620636,0.162431061267853,0.0514707304537296,0.0800859928131104,100,70653.5,"herbs",70653.5,0,0,0,0,0,0,1.00000057927746
"86851",2019,55.84744,-110.630121,"supplemental",0.990000009536743,0.508531391620636,0.162431061267853,0.0514707304537296,0.0800859928131104,230,70653.5,"mixedwood",70653.5,0,0,0,0,0,0,1.00000057927786
"86870",2019,55.846391,-110.620169,"supplemental",0.990000009536743,0.261641293764114,0.148269847035408,0.0215453542768955,0.0752652883529663,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927659
"86878",2019,55.846318,-110.611772,"supplemental",0.990000009536743,0.261641293764114,0.148269847035408,0.0215453542768955,0.0752652883529663,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927706
"87026",2019,55.846157,-110.602356,"supplemental",0.759999990463257,0.277533411979675,0.125732973217964,0.0266141500324011,0.0572093613445759,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927782
"86900",2019,55.84536,-110.591106,"supplemental",0.990000009536743,0.567823708057404,0.146910011768341,0.0512213706970215,0.0749819949269295,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927811
"86900",2020,55.84536,-110.591106,"supplemental",0.990000009536743,0.567823708057404,0.146910011768341,0.0512213706970215,0.0749819949269295,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927811
"86889",2019,55.84585,-110.58238,"supplemental",0.990000009536743,0.567823708057404,0.146910011768341,0.0512213706970215,0.0749819949269295,220,70653.5,"broadleaf",70653.5,0,0,0,0,0,0,1.00000057927617
"86889",2020,55.84585,-110.58238,"supplemental",0.990000009536743,0.567823708057404,0.146910011768341,0.0512213706970215,0.0749819949269295,220,70653.5,"broadleaf",70653.5,0,0,0,0,0,0,1.00000057927617
"86903",2019,55.844591,-110.573629,"supplemental",0.990000009536743,0.55159991979599,0.154381558299065,0.0509347692131996,0.0677409470081329,220,70653.5,"broadleaf",70653.5,0,1.00000057927698,0,0,0,0,0
"86903",2020,55.844591,-110.573629,"supplemental",0.990000009536743,0.55159991979599,0.154381558299065,0.0509347692131996,0.0677409470081329,220,70653.5,"broadleaf",70653.5,0,1.00000057927698,0,0,0,0,0
"86879",2019,55.842373,-110.641087,"supplemental",0.990000009536743,0.508531391620636,0.162431061267853,0.0514707304537296,0.0800859928131104,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927701
"86901",2020,55.845202,-110.563727,"supplemental",0.990000009536743,0.55159991979599,0.154381558299065,0.0509347692131996,0.0677409470081329,81,70653.5,"wetland-treed",70653.5,0,0,0,0,0,0,1.00000057927746
"87027",2019,55.853073,-110.64867,"supplemental",0.0900000035762787,0.296485841274261,0.137396782636642,0.0284288637340069,0.0465016849339008,81,70653.5,"wetland-treed",70653.5,0,0,0,0,0,0,1.00000057927625
"87025",2019,55.852817,-110.64051,"supplemental",0.140000000596046,0.355573028326035,0.143420025706291,0.0284478329122066,0.0628340691328049,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927718
"87025",2020,55.852817,-110.64051,"supplemental",0.140000000596046,0.355573028326035,0.143420025706291,0.0284478329122066,0.0628340691328049,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927718
"87021",2019,55.852692,-110.629131,"supplemental",0.140000000596046,0.355573028326035,0.143420025706291,0.0284478329122066,0.0628340691328049,220,70653.5,"broadleaf",70653.5,0,0,0,0,0,0,1.0000005792767
"87024",2019,55.851733,-110.619621,"supplemental",0.990000009536743,0.335829496383667,0.149603202939034,0.0279026366770267,0.0908860042691231,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927739
"87023",2019,55.850897,-110.610724,"supplemental",0.990000009536743,0.335829496383667,0.149603202939034,0.0279026366770267,0.0908860042691231,100,70653.5,"herbs",70653.5,0,0,0,0,0,0,1.00000057927759
"87023",2020,55.850897,-110.610724,"supplemental",0.990000009536743,0.335829496383667,0.149603202939034,0.0279026366770267,0.0908860042691231,100,70653.5,"herbs",70653.5,0,0,0,0,0,0,1.00000057927759
"87022",2019,55.851773,-110.600743,"supplemental",0.990000009536743,0.31519079208374,0.146380722522736,0.0267898328602314,0.0757700651884079,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.0000005792762
"87022",2020,55.851773,-110.600743,"supplemental",0.990000009536743,0.31519079208374,0.146380722522736,0.0267898328602314,0.0757700651884079,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.0000005792762
"86905",2019,55.85111,-110.591157,"supplemental",0.990000009536743,0.403905481100082,0.148166790604591,0.0392640382051468,0.0641252547502518,81,70653.5,"wetland-treed",70653.5,0,0,0,0,0,0,1.00000057927579
"86905",2020,55.85111,-110.591157,"supplemental",0.990000009536743,0.403905481100082,0.148166790604591,0.0392640382051468,0.0641252547502518,81,70653.5,"wetland-treed",70653.5,0,0,0,0,0,0,1.00000057927579
