"","location_id","year","lat","lon","source","pAspen","classno","buffer_area","landcover_class","area","badr_wellpadlow","badr_road","badr_wellpadhigh","badr_plant","badr_linear","badr_plantbuffer","badr_reference","task_method","ALFL","CAWA","OVEN","SWTH"
"1","100026",2017,55.76363,-110.87517,"supplemental",0.959999978542328,230,70653.5,"mixedwood",70653.5,0,0,0,0,0,0,1.00000057927644,"PC",0.1821284790736,0.00280052356848823,0.124608235123752,0.16794336079507
"2","87031",2020,55.842138,-110.65106,"supplemental",0.990000009536743,220,70653.5,"broadleaf",70653.5,0,0,0,0,0,0,1.00000057927691,"PC",0.046115914199791,0.0443430257797349,0.448198668358236,0.176385340809138
"3","86897",2019,55.839542,-110.564647,"supplemental",0.990000009536743,100,70653.5,"herbs",70653.5,0,0,0,0,0,0,1.00000057927676,"PC",0.0893346349709159,0.0282817988069621,0.337486705111919,0.181113621858569
"4","86897",2020,55.839542,-110.564647,"supplemental",0.990000009536743,100,70653.5,"herbs",70653.5,0,0,0,0,0,0,1.00000057927676,"PC",0.0588118124287614,0.0327628259692849,0.403962409079827,0.182348518176305
"5","87030",2019,55.887342,-110.558168,"supplemental",0.829999983310699,100,70653.5,"herbs",70653.5,0,0,0,0,0,0,1.00000057927701,"PC",0.109465210116231,0.00522238103965827,0.0423164268235579,0.142434147042731
"6","87029",2019,55.847817,-110.64918,"supplemental",0.990000009536743,230,70653.5,"mixedwood",70653.5,0,0,0,0,0,0,1.00000057927749,"PC",0.0254222347237201,0.0529459538654655,0.411489711496128,0.191042079818322
"7","87028",2019,55.847377,-110.638961,"supplemental",0.990000009536743,100,70653.5,"herbs",70653.5,0,0,0,0,0,0,1.00000057927746,"PC",0.0736180633894035,0.0293039478072108,0.37002804366611,0.180738370318728
"8","86851",2019,55.84744,-110.630121,"supplemental",0.990000009536743,230,70653.5,"mixedwood",70653.5,0,0,0,0,0,0,1.00000057927786,"PC",0.0161820168144588,0.0805288110618712,0.370813583724383,0.193127627463518
"9","86870",2019,55.846391,-110.620169,"supplemental",0.990000009536743,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927659,"PC",0.0331854599877551,0.00184762795242648,0.0402855084072437,0.154080376902694
"10","86878",2019,55.846318,-110.611772,"supplemental",0.990000009536743,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927706,"PC",0.0222047146519262,0.00288875620981598,0.0413170581283986,0.15778633871771
"11","87026",2019,55.846157,-110.602356,"supplemental",0.759999990463257,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927782,"PC",0.0349433518883343,0.00190711862198024,0.0396524426931959,0.152439485452209
"12","86900",2019,55.84536,-110.591106,"supplemental",0.990000009536743,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927811,"PC",0.0196065508573149,0.0100703926258009,0.18685250009954,0.283301088792934
"13","86900",2020,55.84536,-110.591106,"supplemental",0.990000009536743,210,70653.5,"coniferous",70653.5,0,0,0,0,0,0,1.00000057927811,"PC",0.0169277552214707,0.0115408940117436,0.164753969475926,0.286681793837293
"14","86889",2019,55.84585,-110.58238,"supplemental",0.990000009536743,220,70653.5,"broadleaf",70653.5,0,0,0,0,0,0,1.00000057927617,"PC",0.031177040244571,0.045790296647807,0.459506126262147,0.188426259651609
